,Side,Rank_type,Metric,Value
0,head,optimistic,arithmetic_mean_rank,4.646766169154229
1,tail,optimistic,arithmetic_mean_rank,4.880597014925373
2,both,optimistic,arithmetic_mean_rank,4.763681592039801
3,head,realistic,arithmetic_mean_rank,4.646766185760498
4,tail,realistic,arithmetic_mean_rank,4.880597114562988
5,both,realistic,arithmetic_mean_rank,4.763681411743164
6,head,pessimistic,arithmetic_mean_rank,4.646766169154229
7,tail,pessimistic,arithmetic_mean_rank,4.880597014925373
8,both,pessimistic,arithmetic_mean_rank,4.763681592039801
9,head,optimistic,median_rank,4.0
10,tail,optimistic,median_rank,4.0
11,both,optimistic,median_rank,4.0
12,head,realistic,median_rank,4.0
13,tail,realistic,median_rank,4.0
14,both,realistic,median_rank,4.0
15,head,pessimistic,median_rank,4.0
16,tail,pessimistic,median_rank,4.0
17,both,pessimistic,median_rank,4.0
18,head,optimistic,z_geometric_mean_rank,-4.48739482515931
19,tail,optimistic,z_geometric_mean_rank,-4.03633957482948
20,both,optimistic,z_geometric_mean_rank,-6.0370837340620085
21,head,realistic,z_geometric_mean_rank,-4.487391948887296
22,tail,realistic,z_geometric_mean_rank,-4.036337746494141
23,both,realistic,z_geometric_mean_rank,-6.037077209043581
24,head,pessimistic,z_geometric_mean_rank,-4.48739482515931
25,tail,pessimistic,z_geometric_mean_rank,-4.03633957482948
26,both,pessimistic,z_geometric_mean_rank,-6.0370837340620085
27,head,optimistic,z_inverse_harmonic_mean_rank,-5.9947747895110375
28,tail,optimistic,z_inverse_harmonic_mean_rank,-5.297781739350366
29,both,optimistic,z_inverse_harmonic_mean_rank,-7.983128057348495
30,head,realistic,z_inverse_harmonic_mean_rank,-5.994774613244848
31,tail,realistic,z_inverse_harmonic_mean_rank,-5.2977816311743275
32,both,realistic,z_inverse_harmonic_mean_rank,-7.983127856400451
33,head,pessimistic,z_inverse_harmonic_mean_rank,-5.9947747895110375
34,tail,pessimistic,z_inverse_harmonic_mean_rank,-5.297781739350366
35,both,pessimistic,z_inverse_harmonic_mean_rank,-7.983128057348495
36,head,optimistic,count,201.0
37,tail,optimistic,count,201.0
38,both,optimistic,count,402.0
39,head,realistic,count,201.0
40,tail,realistic,count,201.0
41,both,realistic,count,402.0
42,head,pessimistic,count,201.0
43,tail,pessimistic,count,201.0
44,both,pessimistic,count,402.0
45,head,optimistic,inverse_arithmetic_mean_rank,0.21520342612419702
46,tail,optimistic,inverse_arithmetic_mean_rank,0.20489296636085627
47,both,optimistic,inverse_arithmetic_mean_rank,0.20992167101827675
48,head,realistic,inverse_arithmetic_mean_rank,0.2152034193277359
49,tail,realistic,inverse_arithmetic_mean_rank,0.20489296317100525
50,both,realistic,inverse_arithmetic_mean_rank,0.2099216729402542
51,head,pessimistic,inverse_arithmetic_mean_rank,0.21520342612419702
52,tail,pessimistic,inverse_arithmetic_mean_rank,0.20489296636085627
53,both,pessimistic,inverse_arithmetic_mean_rank,0.20992167101827675
54,head,optimistic,inverse_geometric_mean_rank,0.25032391184904906
55,tail,optimistic,inverse_geometric_mean_rank,0.23405036091470277
56,both,optimistic,inverse_geometric_mean_rank,0.24205041192662777
57,head,realistic,inverse_geometric_mean_rank,0.25032395124435425
58,tail,realistic,inverse_geometric_mean_rank,0.23405037820339203
59,both,realistic,inverse_geometric_mean_rank,0.24205045402050018
60,head,pessimistic,inverse_geometric_mean_rank,0.25032391184904906
61,tail,pessimistic,inverse_geometric_mean_rank,0.23405036091470277
62,both,pessimistic,inverse_geometric_mean_rank,0.24205041192662777
63,head,optimistic,adjusted_inverse_harmonic_mean_rank,-0.18980727787444274
64,tail,optimistic,adjusted_inverse_harmonic_mean_rank,-0.16012506500344725
65,both,optimistic,adjusted_inverse_harmonic_mean_rank,-0.1745655895177426
66,head,realistic,adjusted_inverse_harmonic_mean_rank,-0.18980727229348154
67,tail,realistic,adjusted_inverse_harmonic_mean_rank,-0.1601250617338344
68,both,realistic,adjusted_inverse_harmonic_mean_rank,-0.17456558512364878
69,head,pessimistic,adjusted_inverse_harmonic_mean_rank,-0.18980727787444274
70,tail,pessimistic,adjusted_inverse_harmonic_mean_rank,-0.16012506500344725
71,both,pessimistic,adjusted_inverse_harmonic_mean_rank,-0.1745655895177426
72,head,optimistic,median_absolute_deviation,2.965204437011204
73,tail,optimistic,median_absolute_deviation,2.965204437011204
74,both,optimistic,median_absolute_deviation,2.965204437011204
75,head,realistic,median_absolute_deviation,2.965204437011204
76,tail,realistic,median_absolute_deviation,2.965204437011204
77,both,realistic,median_absolute_deviation,2.965204437011204
78,head,pessimistic,median_absolute_deviation,2.965204437011204
79,tail,pessimistic,median_absolute_deviation,2.965204437011204
80,both,pessimistic,median_absolute_deviation,2.965204437011204
81,head,optimistic,adjusted_geometric_mean_rank_index,-0.28204928363891457
82,tail,optimistic,adjusted_geometric_mean_rank_index,-0.25352940912521116
83,both,optimistic,adjusted_geometric_mean_rank_index,-0.2683372012684748
84,head,realistic,adjusted_geometric_mean_rank_index,-0.28204910285463036
85,tail,realistic,adjusted_geometric_mean_rank_index,-0.2535292942843337
86,both,realistic,adjusted_geometric_mean_rank_index,-0.268336911243479
87,head,pessimistic,adjusted_geometric_mean_rank_index,-0.28204928363891457
88,tail,pessimistic,adjusted_geometric_mean_rank_index,-0.25352940912521116
89,both,pessimistic,adjusted_geometric_mean_rank_index,-0.2683372012684748
90,head,optimistic,z_arithmetic_mean_rank,-1.685766963534892
91,tail,optimistic,z_arithmetic_mean_rank,-1.5735475741770735
92,both,optimistic,z_arithmetic_mean_rank,-2.302995843161561
93,head,realistic,z_arithmetic_mean_rank,-1.6857670597204368
94,tail,realistic,z_arithmetic_mean_rank,-1.5735481319415001
95,both,realistic,z_arithmetic_mean_rank,-2.3029943916884577
96,head,pessimistic,z_arithmetic_mean_rank,-1.685766963534892
97,tail,pessimistic,z_arithmetic_mean_rank,-1.5735475741770735
98,both,pessimistic,z_arithmetic_mean_rank,-2.302995843161561
99,head,optimistic,variance,7.193633820945025
100,tail,optimistic,variance,6.523056359991089
101,both,optimistic,variance,6.872014306576569
102,head,realistic,variance,7.193634033203125
103,tail,realistic,variance,6.5230560302734375
104,both,realistic,variance,6.87201452255249
105,head,pessimistic,variance,7.193633820945025
106,tail,pessimistic,variance,6.523056359991089
107,both,pessimistic,variance,6.872014306576569
108,head,optimistic,adjusted_arithmetic_mean_rank_index,-0.08673091178650849
109,tail,optimistic,adjusted_arithmetic_mean_rank_index,-0.07809260539046292
110,both,optimistic,adjusted_arithmetic_mean_rank_index,-0.08226037195994307
111,head,realistic,adjusted_arithmetic_mean_rank_index,-0.08673091673515199
112,tail,realistic,adjusted_arithmetic_mean_rank_index,-0.0780926330714038
113,both,realistic,adjusted_arithmetic_mean_rank_index,-0.08226032011498718
114,head,pessimistic,adjusted_arithmetic_mean_rank_index,-0.08673091178650849
115,tail,pessimistic,adjusted_arithmetic_mean_rank_index,-0.07809260539046292
116,both,pessimistic,adjusted_arithmetic_mean_rank_index,-0.08226037195994307
117,head,optimistic,geometric_mean_rank,3.994824116535149
118,tail,optimistic,geometric_mean_rank,4.272584738138642
119,both,optimistic,geometric_mean_rank,4.131370783632989
120,head,realistic,geometric_mean_rank,3.994823694229126
121,tail,realistic,geometric_mean_rank,4.272584438323975
122,both,realistic,geometric_mean_rank,4.1313700675964355
123,head,pessimistic,geometric_mean_rank,3.994824116535149
124,tail,pessimistic,geometric_mean_rank,4.272584738138642
125,both,pessimistic,geometric_mean_rank,4.131370783632989
126,head,optimistic,standard_deviation,2.6820950432348636
127,tail,optimistic,standard_deviation,2.5540274783155894
128,both,optimistic,standard_deviation,2.6214527092008675
129,head,realistic,standard_deviation,2.6820950508117676
130,tail,realistic,standard_deviation,2.5540273189544678
131,both,realistic,standard_deviation,2.621452808380127
132,head,pessimistic,standard_deviation,2.6820950432348636
133,tail,pessimistic,standard_deviation,2.5540274783155894
134,both,pessimistic,standard_deviation,2.6214527092008675
135,head,optimistic,adjusted_arithmetic_mean_rank,1.0668189605939462
136,tail,optimistic,adjusted_arithmetic_mean_rank,1.0611141157382369
