head_id,score,head_label
14478,-3.551439046859741,Nilotinib
14265,-3.5805397033691406,Dasatinib
14019,-3.618309497833252,Doxorubicin
13600,-3.618861436843872,Methotrexate
13491,-3.6409735679626465,Epirubicin
13654,-3.6438333988189697,Imatinib
14542,-3.6486337184906006,Pazopanib
14654,-3.6571178436279297,Ponatinib
14051,-3.6576058864593506,Topotecan
14637,-3.6605334281921387,Crizotinib
14046,-3.669066905975342,Mycophenolic acid
13655,-3.682239532470703,Triamcinolone
13447,-3.6862306594848633,Sorafenib
13487,-3.6879794597625732,Gemcitabine
13788,-3.688844919204712,Tretinoin
13569,-3.6951494216918945,Erlotinib
13562,-3.7016239166259766,Alitretinoin
14004,-3.7018930912017822,Isotretinoin
14505,-3.7100846767425537,Vandetanib
14234,-3.7174923419952393,Budesonide
13805,-3.7192184925079346,Etoposide
14241,-3.7235100269317627,Paclitaxel
13372,-3.7280237674713135,Gefitinib
14216,-3.730637311935425,Mitoxantrone
14407,-3.732844114303589,Everolimus
14277,-3.732861042022705,Varenicline
13795,-3.7421998977661133,Irinotecan
13815,-3.744814872741699,Estradiol
14259,-3.752347707748413,Docetaxel
13728,-3.7586042881011963,Daunorubicin
13889,-3.7588701248168945,Prednisolone
14276,-3.76296329498291,Sunitinib
13247,-3.768939256668091,PS-341
13906,-3.7821412086486816,Sirolimus
14245,-3.7841873168945312,Dexamethasone
13445,-3.785902738571167,Progesterone
14152,-3.788019895553589,Levofloxacin
13489,-3.7940168380737305,Betamethasone
13299,-3.7961275577545166,Cladribine
14112,-3.7985100746154785,Fluvastatin
14030,-3.800438165664673,Busulfan
13774,-3.8049070835113525,Hydrocortisone
13419,-3.8053598403930664,Levonorgestrel
14178,-3.81193208694458,Ofloxacin
13722,-3.816460132598877,Mycophenolate mofetil
13490,-3.8171443939208984,Teniposide
13578,-3.818033218383789,Vincristine
14190,-3.818878173828125,Idarubicin
14662,-3.8219223022460938,Dabrafenib
13301,-3.83174991607666,Mesalazine
13886,-3.8350887298583984,Terbinafine
13659,-3.835864305496216,Testosterone
13525,-3.8369104862213135,Celecoxib
13361,-3.837738037109375,Mitomycin
14534,-3.837973117828369,Temsirolimus
13709,-3.84261417388916,Tamoxifen
13675,-3.8441593647003174,Simvastatin
13993,-3.844437599182129,Dactinomycin
13623,-3.845402479171753,Fluticasone propionate
13670,-3.8454244136810303,Prednisone
13791,-3.8457159996032715,Clopidogrel
14349,-3.845757484436035,Danazol
14547,-3.847773551940918,Bosutinib
13666,-3.849151611328125,Clofarabine
14644,-3.853248357772827,Vemurafenib
14015,-3.854434013366699,Azathioprine
14060,-3.8628032207489014,Thalidomide
13175,-3.8654987812042236,Cyclosporine
13621,-3.8717551231384277,Diclofenac
13285,-3.8724822998046875,Lovastatin
14635,-3.8869659900665283,Pitavastatin
14664,-3.88754940032959,Afatinib
14458,-3.8883626461029053,Thiotepa
13347,-3.892040729522705,Chlorambucil
13524,-3.894275665283203,Raloxifene
14012,-3.897113084793091,Exemestane
14661,-3.8981258869171143,Trametinib
13414,-3.8982250690460205,Vinorelbine
14118,-3.8990821838378906,Capecitabine
13748,-3.8998374938964844,Paroxetine
14114,-3.9008119106292725,Leflunomide
14448,-3.9038960933685303,Vorinostat
13425,-3.90604567527771,Treprostinil
13983,-3.9156081676483154,Methylprednisolone
13383,-3.916260242462158,Indomethacin
13574,-3.9179162979125977,Ciprofloxacin
13971,-3.918337345123291,Fulvestrant
13882,-3.9253463745117188,Temozolomide
13750,-3.9260621070861816,Norethisterone
13638,-3.9268441200256348,Medroxyprogesterone acetate
14641,-3.9302170276641846,Boceprevir
13893,-3.936412811279297,Tacrolimus
13607,-3.938782215118408,Vinblastine
13523,-3.9411675930023193,Lenalidomide
14340,-3.9547791481018066,Colchicine
14021,-3.955509901046753,Hydrochlorothiazide
13953,-3.955695867538452,Azacitidine
14459,-3.965235948562622,Estriol
13198,-3.968261480331421,Calcitriol
14362,-3.9705660343170166,Testosterone propionate
13229,-3.97255802154541,Menadione
13239,-3.9741361141204834,Flunisolide
13576,-3.977191925048828,Toremifene
14050,-3.978775978088379,Irbesartan
14061,-3.979015350341797,Melphalan
13713,-3.9800431728363037,Thioridazine
14170,-3.985853672027588,Bupropion
14638,-3.9879610538482666,DB08866
13773,-3.994724750518799,Riluzole
13363,-3.9967520236968994,Bexarotene
13368,-3.9969706535339355,Valproic acid
13842,-3.998126983642578,Ribavirin
14532,-4.000039577484131,Sitaxentan
13342,-4.00104284286499,Conjugated estrogens
14643,-4.003850936889648,Ruxolitinib
14660,-4.005099773406982,Pomalidomide
13662,-4.006731986999512,Niacin
14018,-4.007638931274414,Gabapentin
14272,-4.008335113525391,Posaconazole
14069,-4.010246753692627,Ibuprofen
14268,-4.012239456176758,Lapatinib
14443,-4.015284538269043,Etoricoxib
13243,-4.016960620880127,[3H]nicotine
13332,-4.017504692077637,Amsacrine
14243,-4.017984390258789,Saquinavir
13707,-4.018210411071777,Aprepitant
13555,-4.01991605758667,Cisplatin
13819,-4.019931793212891,Naproxen
13288,-4.020251750946045,Pregabalin
13504,-4.0234293937683105,Acitretin
14071,-4.02520751953125,Benzylpenicillin
13493,-4.026707172393799,Lansoprazole
13172,-4.028676509857178,Goserelin
13261,-4.029120445251465,Sildenafil
13911,-4.032147407531738,Clomifene
14651,-4.032184600830078,Regorafenib
13845,-4.032857894897461,Meloxicam
14027,-4.039824962615967,Hydroxyurea
14194,-4.041306495666504,Ifosfamide
13967,-4.04214334487915,Zalcitabine
13677,-4.042807579040527,Mebendazole
14131,-4.04525899887085,Nifedipine
14134,-4.045909881591797,Amiodarone
13626,-4.046382427215576,Fluocinolone acetonide
14063,-4.052305221557617,Gatifloxacin
14092,-4.053178787231445,Perhexiline
13177,-4.0535383224487305,Octreotide
14270,-4.053634166717529,Sitagliptin
14236,-4.054260730743408,Quetiapine
14570,-4.057374000549316,Methyltestosterone
13535,-4.057878017425537,Fosinopril
14209,-4.058099269866943,Captopril
13309,-4.058143138885498,Phenytoin
13769,-4.0583577156066895,Esomeprazole
14192,-4.059525489807129,Podofilox
14214,-4.060586929321289,Levetiracetam
14403,-4.062291622161865,Ursodeoxycholic acid
13319,-4.062535762786865,Carmustine
14223,-4.062948703765869,Clarithromycin
14017,-4.06318998336792,Auranofin
13278,-4.065895080566406,Nelfinavir
13745,-4.069855690002441,Flurbiprofen
14128,-4.070087432861328,Cefuroxime
13432,-4.072301864624023,Amlodipine
14077,-4.072369575500488,Norfloxacin
14427,-4.074378490447998,Hydroxychloroquine
13318,-4.074789524078369,Anagrelide
14591,-4.075545787811279,Chenodeoxycholic acid
13617,-4.076827049255371,Voriconazole
13958,-4.076925754547119,Maprotiline
13484,-4.0779571533203125,Allopurinol
13873,-4.078232765197754,Donepezil
14460,-4.078429222106934,Estrone sulfate
13359,-4.079161167144775,Ertapenem
13665,-4.079610824584961,Alendronic acid
13991,-4.081099987030029,Methyldopa
13818,-4.081269264221191,Acyclovir
14120,-4.0822858810424805,Quinacrine
13448,-4.084427833557129,Zoledronic acid
14005,-4.085875034332275,Formoterol
13853,-4.0859832763671875,Disulfiram
13864,-4.08625602722168,Cefaclor
13392,-4.086457252502441,Omeprazole
13637,-4.086536407470703,Ivermectin
13999,-4.0873942375183105,Ethinylestradiol
13837,-4.088346004486084,Pentoxifylline
14249,-4.088820934295654,Aripiprazole
13254,-4.08953332901001,Betaxolol
14058,-4.090898036956787,Deprenyl
14011,-4.091376304626465,Rivastigmine
13439,-4.096671104431152,Digoxin
13581,-4.098681449890137,Fluorouracil
13265,-4.100922107696533,Azithromycin
14179,-4.101716995239258,Cilostazol
14229,-4.101738929748535,Anastrozole
13808,-4.102497100830078,Oxcarbazepine
14597,-4.1025543212890625,Niclosamide
13839,-4.102717399597168,Indapamide
14465,-4.103632926940918,Maraviroc
13558,-4.106512546539307,Albendazole
14151,-4.106618881225586,Carvedilol
13737,-4.106924057006836,Naltrexone
14144,-4.107102870941162,Bicalutamide
13570,-4.107640266418457,Cyclophosphamide
13989,-4.108701705932617,Telmisartan
14181,-4.110732078552246,Procarbazine
14085,-4.113182544708252,Glipizide
13703,-4.114261150360107,Sumatriptan
14042,-4.115895748138428,Isosorbide mononitrate
13252,-4.1161298751831055,Tramadol
13295,-4.117349147796631,Nevirapine
13771,-4.117428302764893,Pentamidine
13742,-4.117688179016113,Lamivudine
13350,-4.119475841522217,Etonogestrel
13341,-4.120684623718262,Venlafaxine
14055,-4.121419429779053,Cerulenin
13276,-4.121635913848877,Moxifloxacin
13592,-4.122649669647217,Lamotrigine
14136,-4.122876167297363,Gliclazide
14067,-4.128495216369629,Abacavir
13538,-4.129045009613037,Zidovudine
14280,-4.129786968231201,Nelarabine
14026,-4.131155967712402,Ganciclovir
13271,-4.132748126983643,Pantoprazole
13461,-4.133290767669678,Rosiglitazone
14059,-4.133552551269531,Fenofibrate
13546,-4.134615898132324,Ritonavir
13371,-4.134640216827393,Acetaminophen
13601,-4.13472318649292,Carbamazepine
13515,-4.136147499084473,Fluoxetine
13721,-4.1362996101379395,Fludrocortisone
13396,-4.136868953704834,Diltiazem
14083,-4.137479305267334,Melatonin
14253,-4.138258457183838,Clomipramine
14148,-4.1385064125061035,Pioglitazone
14062,-4.140635013580322,Memantine
13346,-4.142839431762695,Bleomycin
14048,-4.143448829650879,Ketoconazole
14157,-4.144560813903809,Doxepin
13486,-4.144658088684082,Trimethoprim
13273,-4.144844055175781,Citalopram
13731,-4.146276950836182,Tizanidine
13619,-4.147397518157959,Enalapril
13462,-4.148035049438477,Pramipexole
13234,-4.148160457611084,Pravastatin
13660,-4.150151252746582,Efavirenz
14188,-4.151034832000732,Escitalopram
13325,-4.151659965515137,Ropinirole
13620,-4.151831150054932,Nizatidine
13469,-4.152103424072266,Methylphenidate
13424,-4.155306816101074,Timolol
13560,-4.155357360839844,Caspofungin
13982,-4.156167507171631,Carboplatin
13767,-4.159956455230713,Risperidone
13611,-4.161872863769531,Clonidine
14273,-4.162172317504883,Darunavir
13962,-4.167008876800537,Salmeterol
13640,-4.167574882507324,Sulindac
13329,-4.1676435470581055,Topiramate
14054,-4.167980670928955,Mercaptopurine
13587,-4.168862819671631,Propylthiouracil
13936,-4.169158458709717,Paricalcitol
13712,-4.170464038848877,Losartan
13366,-4.170658111572266,Chlorthalidone
13844,-4.172451496124268,Fentanyl
13244,-4.17273473739624,Cevimeline
14602,-4.173502445220947,Raltegravir
13237,-4.173530578613281,Ramipril
13559,-4.17357873916626,Trandolapril
14561,-4.1736273765563965,Dexmethylphenidate
13755,-4.176109313964844,Lisinopril
14009,-4.17616605758667,Cytarabine
13884,-4.177811145782471,Aminolevulinic acid
13743,-4.178743362426758,Ibandronate
13984,-4.1796464920043945,Pindolol
13705,-4.17983865737915,Cefixime
13509,-4.18028450012207,Ketorolac
14031,-4.180387020111084,Ketoprofen
14353,-4.180634021759033,Ciclesonide
13995,-4.181652545928955,Ezetimibe
14086,-4.181711673736572,Clonazepam
13782,-4.18266487121582,Etodolac
13729,-4.183010578155518,Furosemide
13589,-4.183481216430664,Pentostatin
13303,-4.183536529541016,Ziprasidone
13880,-4.186110496520996,Dacarbazine
14708,-4.18801736831665,Bisacodyl
14109,-4.188445091247559,Ouabain
14477,-4.188492774963379,Omacetaxine mepesuccinate
14164,-4.188539505004883,Nefazodone
14195,-4.190407752990723,Propafenone
14122,-4.191036224365234,Sibutramine
13738,-4.191655158996582,Delavirdine
13647,-4.192640781402588,Bisoprolol
13865,-4.193181037902832,Mifepristone
13553,-4.194365501403809,Aminocaproic acid
14379,-4.194381237030029,gamma-Hydroxybutyric acid
13608,-4.194750785827637,Propranolol
14115,-4.194972991943359,Rosuvastatin
14200,-4.19524621963501,Ciclopirox
13934,-4.195776462554932,Quinidine
13422,-4.19824743270874,Mirtazapine
13421,-4.198469638824463,Cidofovir
14220,-4.1990065574646,Sparfloxacin
13898,-4.199508190155029,Dorzolamide
13331,-4.199718475341797,Olmesartan
13879,-4.202063083648682,Perphenazine
14313,-4.202280521392822,Quinidine barbiturate
13689,-4.202664375305176,Estrone
13360,-4.202694892883301,Desogestrel
13806,-4.203854084014893,Hydroflumethiazide
14169,-4.204115390777588,Gemifloxacin
14038,-4.2043375968933105,Glyburide
13282,-4.204462051391602,Indinavir
14184,-4.205445289611816,Moclobemide
14102,-4.206760406494141,Pilocarpine
14330,-4.2073893547058105,Rasagiline
14628,-4.207515239715576,Deferiprone
14117,-4.208049297332764,Pimozide
13821,-4.2084527015686035,Perindopril
13280,-4.209338665008545,Glimepiride
13826,-4.209383964538574,Sulfasalazine
14116,-4.211052417755127,Flucytosine
14100,-4.211670875549316,Orlistat
14097,-4.211898326873779,Vigabatrin
14198,-4.211928367614746,Fluoxymesterone
14080,-4.212221622467041,Oxybutynin
14278,-4.21617317199707,Arformoterol
13931,-4.217458724975586,Bimatoprost
13453,-4.219333648681641,Alprazolam
14208,-4.21997594833374,Estramustine
13292,-4.220119953155518,Reboxetine
13986,-4.220382213592529,Zaleplon
13377,-4.22075891494751,Floxuridine
