head_label,relation_label,tail_label,score
Compound::DB00586,CcSE,Side Effect::C0042109,-1.4306486
Compound::DB01224,CcSE,Side Effect::C0040822,-1.4431931
Compound::DB00586,CcSE,Side Effect::C0011603,-1.4504837
Compound::DB01165,CcSE,Side Effect::C0040264,-1.458122
Compound::DB00715,CcSE,Side Effect::C0020538,-1.4679613
Compound::DB00586,CcSE,Side Effect::C0013404,-1.4707417
Compound::DB01165,CcSE,Side Effect::C2047937,-1.4763445
Compound::DB01165,CcSE,Side Effect::C0003123,-1.4792217
Compound::DB00586,CcSE,Side Effect::C2047937,-1.4806705
Compound::DB00586,CcSE,Side Effect::C0013604,-1.4966564
Compound::DB01165,CcSE,Side Effect::C0234215,-1.4968495
Compound::DB01165,CcSE,Side Effect::C1443060,-1.497934
Compound::DB00586,CcSE,Side Effect::C0020458,-1.4981463
Compound::DB00586,CcSE,Side Effect::C0015397,-1.4985545
Compound::DB01165,CcSE,Side Effect::C0018681,-1.4992661
Compound::DB01165,CcSE,Side Effect::C0030554,-1.5028441
Compound::DB00586,CcSE,Side Effect::C0687713,-1.510436
Compound::DB00586,CcSE,Side Effect::C0041834,-1.5120116
Compound::DB00586,CcSE,Side Effect::C3665347,-1.512574
Compound::DB01165,CcSE,Side Effect::C0012833,-1.5138525
Compound::DB00715,CcSE,Side Effect::C0231528,-1.5152055
Compound::DB00715,CcSE,Side Effect::C0009806,-1.5175159
Compound::DB00715,CcSE,Side Effect::C0018681,-1.5177433
Compound::DB00715,CcSE,Side Effect::C0003862,-1.5187159
Compound::DB00586,CcSE,Side Effect::C0041657,-1.5229456
Compound::DB01165,CcSE,Side Effect::C0032285,-1.5261092
Compound::DB01165,CcSE,Side Effect::C0948594,-1.5267751
Compound::DB01165,CcSE,Side Effect::C0015672,-1.5300809
Compound::DB01165,CcSE,Side Effect::C0040034,-1.5338832
Compound::DB01165,CcSE,Side Effect::C0013378,-1.5345992
